customer_id,complaint_date,complaint_text,sentiment_score,sentiment_label
716856408,2025-02-26,I was promised a resolution two weeks ago. Nothing. I'm leaving.,0.3612,neutral
716856408,2025-02-17,Hidden fees again. Done with this bank. Transferring everything out.,0.0,neutral
713373708,2025-03-05,Hidden fees again. Done with this bank. Transferring everything out.,0.0,neutral
709075533,2025-10-23,I was promised a resolution two weeks ago. Nothing. I'm leaving.,0.3612,neutral
709075533,2025-12-15,Hidden fees again. Done with this bank. Transferring everything out.,0.0,neutral
716963283,2025-05-17,Hidden fees again. Done with this bank. Transferring everything out.,0.0,neutral
716963283,2025-03-23,I was promised a resolution two weeks ago. Nothing. I'm leaving.,0.3612,neutral
716963283,2025-05-18,This is absolutely unacceptable. I've been charged twice and no one helps.,-0.5709,negative
714097683,2025-03-17,I was promised a resolution two weeks ago. Nothing. I'm leaving.,0.3612,neutral
714097683,2025-04-12,Worst customer service I've ever experienced. Closing my account.,-0.6249,negative
714097683,2025-04-13,Hidden fees again. Done with this bank. Transferring everything out.,0.0,neutral
712740108,2025-08-26,App keeps crashing and support doesn't respond. Extremely frustrated.,0.6901,neutral
712740108,2025-10-11,I was promised a resolution two weeks ago. Nothing. I'm leaving.,0.3612,neutral
712740108,2025-03-29,App keeps crashing and support doesn't respond. Extremely frustrated.,0.6901,neutral
709612983,2025-12-27,Worst customer service I've ever experienced. Closing my account.,-0.6249,negative
712611108,2025-12-22,I was promised a resolution two weeks ago. Nothing. I'm leaving.,0.3612,neutral
714022833,2025-07-04,Worst customer service I've ever experienced. Closing my account.,-0.6249,negative
714022833,2025-02-10,I was promised a resolution two weeks ago. Nothing. I'm leaving.,0.3612,neutral
714022833,2025-01-23,Worst customer service I've ever experienced. Closing my account.,-0.6249,negative
770724558,2025-04-13,App keeps crashing and support doesn't respond. Extremely frustrated.,0.6901,neutral
770724558,2025-09-05,App keeps crashing and support doesn't respond. Extremely frustrated.,0.6901,neutral
770724558,2025-09-04,This is absolutely unacceptable. I've been charged twice and no one helps.,-0.5709,negative
716832858,2025-10-25,Hidden fees again. Done with this bank. Transferring everything out.,0.0,neutral
716832858,2025-12-23,Hidden fees again. Done with this bank. Transferring everything out.,0.0,neutral
716832858,2025-07-20,Hidden fees again. Done with this bank. Transferring everything out.,0.0,neutral
828215508,2025-09-11,Worst customer service I've ever experienced. Closing my account.,-0.6249,negative
828215508,2025-06-27,I was promised a resolution two weeks ago. Nothing. I'm leaving.,0.3612,neutral
720551733,2025-10-18,App keeps crashing and support doesn't respond. Extremely frustrated.,0.6901,neutral
720551733,2025-11-28,This is absolutely unacceptable. I've been charged twice and no one helps.,-0.5709,negative
712766208,2025-11-06,This is absolutely unacceptable. I've been charged twice and no one helps.,-0.5709,negative
712766208,2025-01-09,Hidden fees again. Done with this bank. Transferring everything out.,0.0,neutral
712766208,2025-02-04,I was promised a resolution two weeks ago. Nothing. I'm leaving.,0.3612,neutral
789817833,2025-11-14,Hidden fees again. Done with this bank. Transferring everything out.,0.0,neutral
789817833,2025-08-22,I was promised a resolution two weeks ago. Nothing. I'm leaving.,0.3612,neutral
807393558,2025-01-01,Worst customer service I've ever experienced. Closing my account.,-0.6249,negative
807393558,2025-05-18,I was promised a resolution two weeks ago. Nothing. I'm leaving.,0.3612,neutral
708386958,2025-06-26,App keeps crashing and support doesn't respond. Extremely frustrated.,0.6901,neutral
708386958,2025-02-26,Hidden fees again. Done with this bank. Transferring everything out.,0.0,neutral
